Industry,Gender,Education,AgeGroup,Wage_Yen,Employees
Finance and insurance,Female,VocationalSchool,25-29,219200,1640
Finance and insurance,Female,VocationalSchool,30-34,216600,1430
Finance and insurance,Female,VocationalSchool,35-39,258800,2170
Finance and insurance,Female,VocationalSchool,40-44,270700,2790
Finance and insurance,Female,VocationalSchool,45-49,283800,3710
Finance and insurance,Female,VocationalSchool,50-54,295700,4200
Finance and insurance,Female,VocationalSchool,55-59,288500,3600
Finance and insurance,Female,VocationalSchool,60-64,275900,1610
Finance and insurance,Female,VocationalSchool,65-69,224900,420
Finance and insurance,Female,VocationalSchool,70+,225700,350
Finance and insurance,Female,TechnicalSchoolJuniorCollege,0-19,,
Finance and insurance,Female,TechnicalSchoolJuniorCollege,20-24,204400,2280
Finance and insurance,Female,TechnicalSchoolJuniorCollege,25-29,232200,2360
Finance and insurance,Female,TechnicalSchoolJuniorCollege,30-34,256000,2860
Finance and insurance,Female,TechnicalSchoolJuniorCollege,35-39,274400,4910
Finance and insurance,Female,TechnicalSchoolJuniorCollege,40-44,313500,10340
Finance and insurance,Female,TechnicalSchoolJuniorCollege,45-49,363300,21020
Finance and insurance,Female,TechnicalSchoolJuniorCollege,50-54,329700,26280
Finance and insurance,Female,TechnicalSchoolJuniorCollege,55-59,334900,12980
Finance and insurance,Female,TechnicalSchoolJuniorCollege,60-64,292200,5650
Finance and insurance,Female,TechnicalSchoolJuniorCollege,65-69,315600,1810
Finance and insurance,Female,TechnicalSchoolJuniorCollege,70+,388600,720
Finance and insurance,Female,University,0-19,,
Finance and insurance,Female,University,20-24,231600,27790
Finance and insurance,Female,University,25-29,259400,50090
Finance and insurance,Female,University,30-34,317000,38640
Finance and insurance,Female,University,35-39,332500,38690
Finance and insurance,Female,University,40-44,372400,26480
Finance and insurance,Female,University,45-49,385100,22600
Finance and insurance,Female,University,50-54,414000,14110
Finance and insurance,Female,University,55-59,407000,8260
Finance and insurance,Female,University,60-64,324300,2930
Finance and insurance,Female,University,65-69,362000,520
Finance and insurance,Female,University,70+,325400,300
Real estate and goods rental and leasing,Male,JuniorHigh,0-19,188600,10
Real estate and goods rental and leasing,Male,JuniorHigh,20-24,265700,70
Real estate and goods rental and leasing,Male,JuniorHigh,25-29,309200,460
Real estate and goods rental and leasing,Male,JuniorHigh,30-34,275100,370
Real estate and goods rental and leasing,Male,JuniorHigh,35-39,342200,550
Real estate and goods rental and leasing,Male,JuniorHigh,40-44,421200,500
Real estate and goods rental and leasing,Male,JuniorHigh,45-49,423200,480
Real estate and goods rental and leasing,Male,JuniorHigh,50-54,388300,600
Real estate and goods rental and leasing,Male,JuniorHigh,55-59,359600,440
Real estate and goods rental and leasing,Male,JuniorHigh,60-64,272600,600
Real estate and goods rental and leasing,Male,JuniorHigh,65-69,239600,360
Real estate and goods rental and leasing,Male,JuniorHigh,70+,202100,230
Real estate and goods rental and leasing,Male,HighSchool,0-19,182600,730
Real estate and goods rental and leasing,Male,HighSchool,20-24,214300,4000
Real estate and goods rental and leasing,Male,HighSchool,25-29,262700,8070
Real estate and goods rental and leasing,Male,HighSchool,30-34,284200,6780
Real estate and goods rental and leasing,Male,HighSchool,35-39,322400,7570
Real estate and goods rental and leasing,Male,HighSchool,40-44,355500,10780
Real estate and goods rental and leasing,Male,HighSchool,45-49,378400,10160
Real estate and goods rental and leasing,Male,HighSchool,50-54,387800,14280
Real estate and goods rental and leasing,Male,HighSchool,55-59,386500,9580
Real estate and goods rental and leasing,Male,HighSchool,60-64,319700,8400
Real estate and goods rental and leasing,Male,HighSchool,65-69,235700,4550
Real estate and goods rental and leasing,Male,HighSchool,70+,215100,2200
Real estate and goods rental and leasing,Male,VocationalSchool,0-19,,
Real estate and goods rental and leasing,Male,VocationalSchool,20-24,231300,1510
Real estate and goods rental and leasing,Male,VocationalSchool,25-29,259800,2740
Real estate and goods rental and leasing,Male,VocationalSchool,30-34,294900,2470
Real estate and goods rental and leasing,Male,VocationalSchool,35-39,335700,4820
Real estate and goods rental and leasing,Male,VocationalSchool,40-44,359800,4570
Real estate and goods rental and leasing,Male,VocationalSchool,45-49,406100,5070
Real estate and goods rental and leasing,Male,VocationalSchool,50-54,458600,4860
Real estate and goods rental and leasing,Male,VocationalSchool,55-59,450500,2350
Real estate and goods rental and leasing,Male,VocationalSchool,60-64,296500,1010
Real estate and goods rental and leasing,Male,VocationalSchool,65-69,259800,520
Real estate and goods rental and leasing,Male,VocationalSchool,70+,216300,190
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,0-19,,
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,20-24,240100,180
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,25-29,298100,720
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,30-34,285900,330
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,35-39,313900,610
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,40-44,377000,1100
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,45-49,377500,1190
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,50-54,422100,980
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,55-59,454900,560
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,60-64,346900,670
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,65-69,249400,240
Real estate and goods rental and leasing,Male,TechnicalSchoolJuniorCollege,70+,218200,70
Real estate and goods rental and leasing,Male,University,0-19,,
Real estate and goods rental and leasing,Male,University,20-24,245200,12440
Real estate and goods rental and leasing,Male,University,25-29,288500,27210
Real estate and goods rental and leasing,Male,University,30-34,340100,20850
Real estate and goods rental and leasing,Male,University,35-39,409400,22380
Real estate and goods rental and leasing,Male,University,40-44,450600,19770
Real estate and goods rental and leasing,Male,University,45-49,496300,22830
Real estate and goods rental and leasing,Male,University,50-54,559000,19810
Real estate and goods rental and leasing,Male,University,55-59,575700,16660
Real estate and goods rental and leasing,Male,University,60-64,355800,11970
Real estate and goods rental and leasing,Male,University,65-69,253700,5160
Real estate and goods rental and leasing,Male,University,70+,266600,1780
Real estate and goods rental and leasing,Female,JuniorHigh,0-19,209000,10
Real estate and goods rental and leasing,Female,JuniorHigh,20-24,227800,100
Real estate and goods rental and leasing,Female,JuniorHigh,25-29,212800,200
Real estate and goods rental and leasing,Female,JuniorHigh,30-34,248400,170
Real estate and goods rental and leasing,Female,JuniorHigh,35-39,208000,140
Real estate and goods rental and leasing,Female,JuniorHigh,40-44,261600,280
Real estate and goods rental and leasing,Female,JuniorHigh,45-49,241700,250
Real estate and goods rental and leasing,Female,JuniorHigh,50-54,230900,250
Real estate and goods rental and leasing,Female,JuniorHigh,55-59,239600,170
Real estate and goods rental and leasing,Female,JuniorHigh,60-64,228200,40
Real estate and goods rental and leasing,Female,JuniorHigh,65-69,187500,60
Real estate and goods rental and leasing,Female,JuniorHigh,70+,193300,80
Real estate and goods rental and leasing,Female,HighSchool,0-19,180400,640
Real estate and goods rental and leasing,Female,HighSchool,20-24,208000,2870
Real estate and goods rental and leasing,Female,HighSchool,25-29,221700,3840
Real estate and goods rental and leasing,Female,HighSchool,30-34,221400,4250
Real estate and goods rental and leasing,Female,HighSchool,35-39,244000,4740
Real estate and goods rental and leasing,Female,HighSchool,40-44,248800,4860
Real estate and goods rental and leasing,Female,HighSchool,45-49,252600,6300
Real estate and goods rental and leasing,Female,HighSchool,50-54,256200,9180
Real estate and goods rental and leasing,Female,HighSchool,55-59,252900,6910
Real estate and goods rental and leasing,Female,HighSchool,60-64,230600,3580
Real estate and goods rental and leasing,Female,HighSchool,65-69,223200,1270
Real estate and goods rental and leasing,Female,HighSchool,70+,206800,620
Real estate and goods rental and leasing,Female,VocationalSchool,0-19,,
Real estate and goods rental and leasing,Female,VocationalSchool,20-24,223300,2400
Real estate and goods rental and leasing,Female,VocationalSchool,25-29,245300,2980
Real estate and goods rental and leasing,Female,VocationalSchool,30-34,247700,2110
Real estate and goods rental and leasing,Female,VocationalSchool,35-39,275700,2660
Real estate and goods rental and leasing,Female,VocationalSchool,40-44,272100,2400
Real estate and goods rental and leasing,Female,VocationalSchool,45-49,275600,3010
Real estate and goods rental and leasing,Female,VocationalSchool,50-54,275400,2410
Real estate and goods rental and leasing,Female,VocationalSchool,55-59,272900,2400
Real estate and goods rental and leasing,Female,VocationalSchool,60-64,271200,1390
Real estate and goods rental and leasing,Female,VocationalSchool,65-69,212800,270
Real estate and goods rental and leasing,Female,VocationalSchool,70+,201500,90
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,0-19,,
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,20-24,211000,1480
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,25-29,240100,2270
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,30-34,250600,1490
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,35-39,259600,1910
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,40-44,290500,3140
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,45-49,301400,5850
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,50-54,311200,5250
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,55-59,319400,3080
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,60-64,293600,2030
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,65-69,237300,290
Real estate and goods rental and leasing,Female,TechnicalSchoolJuniorCollege,70+,204700,90
Real estate and goods rental and leasing,Female,University,0-19,,
Real estate and goods rental and leasing,Female,University,20-24,237400,11460
Real estate and goods rental and leasing,Female,University,25-29,271200,19680
Real estate and goods rental and leasing,Female,University,30-34,286700,12100
Real estate and goods rental and leasing,Female,University,35-39,313700,10200
Real estate and goods rental and leasing,Female,University,40-44,344200,7780
Real estate and goods rental and leasing,Female,University,45-49,397200,6770
Real estate and goods rental and leasing,Female,University,50-54,410300,3740
Real estate and goods rental and leasing,Female,University,55-59,397100,1970
Real estate and goods rental and leasing,Female,University,60-64,288800,1380
Real estate and goods rental and leasing,Female,University,65-69,241800,170
Real estate and goods rental and leasing,Female,University,70+,217300,10
"Scientific research, professional and technical services",Male,JuniorHigh,0-19,232500,150
"Scientific research, professional and technical services",Male,JuniorHigh,20-24,217900,180
"Scientific research, professional and technical services",Male,JuniorHigh,25-29,241900,170
"Scientific research, professional and technical services",Male,JuniorHigh,30-34,279700,330
"Scientific research, professional and technical services",Male,JuniorHigh,35-39,279100,150
"Scientific research, professional and technical services",Male,JuniorHigh,40-44,320400,300
"Scientific research, professional and technical services",Male,JuniorHigh,45-49,338000,270
"Scientific research, professional and technical services",Male,JuniorHigh,50-54,404200,400
"Scientific research, professional and technical services",Male,JuniorHigh,55-59,482100,280
"Scientific research, professional and technical services",Male,JuniorHigh,60-64,319000,300
"Scientific research, professional and technical services",Male,JuniorHigh,65-69,252500,220
"Scientific research, professional and technical services",Male,JuniorHigh,70+,213400,170
"Scientific research, professional and technical services",Male,HighSchool,0-19,190300,2440
"Scientific research, professional and technical services",Male,HighSchool,20-24,214800,10000
"Scientific research, professional and technical services",Male,HighSchool,25-29,253000,10220
"Scientific research, professional and technical services",Male,HighSchool,30-34,289500,9180
"Scientific research, professional and technical services",Male,HighSchool,35-39,314000,12700
"Scientific research, professional and technical services",Male,HighSchool,40-44,345300,12490
"Scientific research, professional and technical services",Male,HighSchool,45-49,393200,15400
"Scientific research, professional and technical services",Male,HighSchool,50-54,418900,20260
"Scientific research, professional and technical services",Male,HighSchool,55-59,426800,19220
"Scientific research, professional and technical services",Male,HighSchool,60-64,358300,15460
"Scientific research, professional and technical services",Male,HighSchool,65-69,334600,7220
"Scientific research, professional and technical services",Male,HighSchool,70+,274000,3250
"Scientific research, professional and technical services",Male,VocationalSchool,0-19,,
"Scientific research, professional and technical services",Male,VocationalSchool,20-24,212600,7730
"Scientific research, professional and technical services",Male,VocationalSchool,25-29,255900,4730
"Scientific research, professional and technical services",Male,VocationalSchool,30-34,278100,7200
"Scientific research, professional and technical services",Male,VocationalSchool,35-39,343500,9510
"Scientific research, professional and technical services",Male,VocationalSchool,40-44,361700,9280
"Scientific research, professional and technical services",Male,VocationalSchool,45-49,400100,11150
"Scientific research, professional and technical services",Male,VocationalSchool,50-54,428000,11610
"Scientific research, professional and technical services",Male,VocationalSchool,55-59,481500,5970
"Scientific research, professional and technical services",Male,VocationalSchool,60-64,382600,3140
"Scientific research, professional and technical services",Male,VocationalSchool,65-69,418500,2190
"Scientific research, professional and technical services",Male,VocationalSchool,70+,351000,700
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,0-19,,
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,20-24,224200,2200
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,25-29,275600,3080
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,30-34,283700,5280
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,35-39,326100,2990
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,40-44,365900,5040
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,45-49,493200,3730
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,50-54,499400,5900
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,55-59,508700,3420
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,60-64,437400,3600
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,65-69,394100,1230
"Scientific research, professional and technical services",Male,TechnicalSchoolJuniorCollege,70+,283400,690
"Scientific research, professional and technical services",Male,University,0-19,,
"Scientific research, professional and technical services",Male,University,20-24,253100,21100
"Scientific research, professional and technical services",Male,University,25-29,312900,55620
"Scientific research, professional and technical services",Male,University,30-34,351800,50610
"Scientific research, professional and technical services",Male,University,35-39,413500,44360
"Scientific research, professional and technical services",Male,University,40-44,449000,47790
"Scientific research, professional and technical services",Male,University,45-49,532900,53880
"Scientific research, professional and technical services",Male,University,50-54,555300,51920
"Scientific research, professional and technical services",Male,University,55-59,568500,39880
"Scientific research, professional and technical services",Male,University,60-64,430600,24340
"Scientific research, professional and technical services",Male,University,65-69,403800,9970
"Scientific research, professional and technical services",Male,University,70+,329100,4550
"Scientific research, professional and technical services",Female,JuniorHigh,0-19,191300,180
"Scientific research, professional and technical services",Female,JuniorHigh,20-24,177600,10
"Scientific research, professional and technical services",Female,JuniorHigh,25-29,261000,20
"Scientific research, professional and technical services",Female,JuniorHigh,30-34,184500,10
"Scientific research, professional and technical services",Female,JuniorHigh,35-39,236900,60
"Scientific research, professional and technical services",Female,JuniorHigh,40-44,238400,80
"Scientific research, professional and technical services",Female,JuniorHigh,45-49,263100,290
"Scientific research, professional and technical services",Female,JuniorHigh,50-54,106800,0
"Scientific research, professional and technical services",Female,JuniorHigh,55-59,227200,100
"Scientific research, professional and technical services",Female,JuniorHigh,60-64,154300,10
"Scientific research, professional and technical services",Female,JuniorHigh,65-69,139000,0
"Scientific research, professional and technical services",Female,JuniorHigh,70+,258800,50
"Scientific research, professional and technical services",Female,HighSchool,0-19,188400,800
"Scientific research, professional and technical services",Female,HighSchool,20-24,204500,3980
"Scientific research, professional and technical services",Female,HighSchool,25-29,234100,3910
"Scientific research, professional and technical services",Female,HighSchool,30-34,238200,3850
"Scientific research, professional and technical services",Female,HighSchool,35-39,239100,4100
"Scientific research, professional and technical services",Female,HighSchool,40-44,243900,5560
"Scientific research, professional and technical services",Female,HighSchool,45-49,281500,7800
"Scientific research, professional and technical services",Female,HighSchool,50-54,283600,10120
"Scientific research, professional and technical services",Female,HighSchool,55-59,297900,8080
"Scientific research, professional and technical services",Female,HighSchool,60-64,244400,3940
"Scientific research, professional and technical services",Female,HighSchool,65-69,247700,880
"Scientific research, professional and technical services",Female,HighSchool,70+,260800,730
"Scientific research, professional and technical services",Female,VocationalSchool,0-19,,
"Scientific research, professional and technical services",Female,VocationalSchool,20-24,212100,7090
"Scientific research, professional and technical services",Female,VocationalSchool,25-29,249200,6970
"Scientific research, professional and technical services",Female,VocationalSchool,30-34,256600,4750
"Scientific research, professional and technical services",Female,VocationalSchool,35-39,263600,4110
"Scientific research, professional and technical services",Female,VocationalSchool,40-44,296600,5310
"Scientific research, professional and technical services",Female,VocationalSchool,45-49,306000,5670
"Scientific research, professional and technical services",Female,VocationalSchool,50-54,318200,4910
"Scientific research, professional and technical services",Female,VocationalSchool,55-59,331100,1890
"Scientific research, professional and technical services",Female,VocationalSchool,60-64,284800,650
"Scientific research, professional and technical services",Female,VocationalSchool,65-69,243600,20
"Scientific research, professional and technical services",Female,VocationalSchool,70+,500000,10
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,0-19,,
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,20-24,220500,1900
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,25-29,269700,5180
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,30-34,267900,2790
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,35-39,296500,2280
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,40-44,289300,7450
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,45-49,322600,10470
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,50-54,328500,6820
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,55-59,336600,5270
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,60-64,275900,1710
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,65-69,254200,170
"Scientific research, professional and technical services",Female,TechnicalSchoolJuniorCollege,70+,200000,60
"Scientific research, professional and technical services",Female,University,0-19,,
"Scientific research, professional and technical services",Female,University,20-24,246700,14360
"Scientific research, professional and technical services",Female,University,25-29,278300,37760
"Scientific research, professional and technical services",Female,University,30-34,306400,22080
"Scientific research, professional and technical services",Female,University,35-39,326200,16490
"Scientific research, professional and technical services",Female,University,40-44,347800,16690
"Scientific research, professional and technical services",Female,University,45-49,349500,21360
"Scientific research, professional and technical services",Female,University,50-54,420000,18360
"Scientific research, professional and technical services",Female,University,55-59,418500,8880
"Scientific research, professional and technical services",Female,University,60-64,312900,2950
"Scientific research, professional and technical services",Female,University,65-69,264400,450
"Scientific research, professional and technical services",Female,University,70+,,
Accommodation and food services,Male,JuniorHigh,0-19,183500,200
Accommodation and food services,Male,JuniorHigh,20-24,212500,340
Accommodation and food services,Male,JuniorHigh,25-29,221000,770
Accommodation and food services,Male,JuniorHigh,30-34,239500,1060
Accommodation and food services,Male,JuniorHigh,35-39,331600,1620
Accommodation and food services,Male,JuniorHigh,40-44,293300,1250
Accommodation and food services,Male,JuniorHigh,45-49,287800,1780
Accommodation and food services,Male,JuniorHigh,50-54,326200,1810
Accommodation and food services,Male,JuniorHigh,55-59,310300,1230
Accommodation and food services,Male,JuniorHigh,60-64,281400,1390
Accommodation and food services,Male,JuniorHigh,65-69,240000,800
Accommodation and food services,Male,JuniorHigh,70+,269100,880
Accommodation and food services,Male,HighSchool,0-19,188200,3730
Accommodation and food services,Male,HighSchool,20-24,208300,12450
Accommodation and food services,Male,HighSchool,25-29,238600,14590
Accommodation and food services,Male,HighSchool,30-34,255000,12610
Accommodation and food services,Male,HighSchool,35-39,280100,15680
Accommodation and food services,Male,HighSchool,40-44,296900,18110
Accommodation and food services,Male,HighSchool,45-49,300400,18950
Accommodation and food services,Male,HighSchool,50-54,314600,19990
Accommodation and food services,Male,HighSchool,55-59,303900,17530
Accommodation and food services,Male,HighSchool,60-64,272700,13630
Accommodation and food services,Male,HighSchool,65-69,251900,8040
Accommodation and food services,Male,HighSchool,70+,243500,4730
Accommodation and food services,Male,VocationalSchool,0-19,,
Accommodation and food services,Male,VocationalSchool,20-24,213900,8440
Accommodation and food services,Male,VocationalSchool,25-29,225100,9410
Accommodation and food services,Male,VocationalSchool,30-34,256800,8200
Accommodation and food services,Male,VocationalSchool,35-39,303700,8740
Accommodation and food services,Male,VocationalSchool,40-44,315300,8640
Accommodation and food services,Male,VocationalSchool,45-49,321100,11680
Accommodation and food services,Male,VocationalSchool,50-54,338700,12100
Accommodation and food services,Male,VocationalSchool,55-59,342000,7170
Accommodation and food services,Male,VocationalSchool,60-64,273500,4060
Accommodation and food services,Male,VocationalSchool,65-69,259900,1580
Accommodation and food services,Male,VocationalSchool,70+,254000,650
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,0-19,,
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,20-24,223700,800
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,25-29,266500,840
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,30-34,270000,1000
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,35-39,346200,1330
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,40-44,360600,1690
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,45-49,317900,1680
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,50-54,321200,1410
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,55-59,354500,820
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,60-64,342000,770
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,65-69,208100,170
Accommodation and food services,Male,TechnicalSchoolJuniorCollege,70+,205800,40
Accommodation and food services,Male,University,0-19,,
Accommodation and food services,Male,University,20-24,224900,5250
Accommodation and food services,Male,University,25-29,257800,12680
Accommodation and food services,Male,University,30-34,280500,13110
Accommodation and food services,Male,University,35-39,313400,14270
Accommodation and food services,Male,University,40-44,340600,15760
Accommodation and food services,Male,University,45-49,365600,16510
Accommodation and food services,Male,University,50-54,404800,12300
Accommodation and food services,Male,University,55-59,375500,8370
Accommodation and food services,Male,University,60-64,307100,6480
Accommodation and food services,Male,University,65-69,248200,2650
Accommodation and food services,Male,University,70+,298600,1000
Accommodation and food services,Female,JuniorHigh,0-19,164300,380
Accommodation and food services,Female,JuniorHigh,20-24,186500,380
Accommodation and food services,Female,JuniorHigh,25-29,206100,720
Accommodation and food services,Female,JuniorHigh,30-34,261900,650
Accommodation and food services,Female,JuniorHigh,35-39,242100,360
Accommodation and food services,Female,JuniorHigh,40-44,197200,530
Accommodation and food services,Female,JuniorHigh,45-49,211500,690
Accommodation and food services,Female,JuniorHigh,50-54,219400,730
Accommodation and food services,Female,JuniorHigh,55-59,190500,690
Accommodation and food services,Female,JuniorHigh,60-64,190100,670
Accommodation and food services,Female,JuniorHigh,65-69,176500,430
Accommodation and food services,Female,JuniorHigh,70+,179500,1080
Accommodation and food services,Female,HighSchool,0-19,179000,5000
Accommodation and food services,Female,HighSchool,20-24,193800,16310
Accommodation and food services,Female,HighSchool,25-29,198200,9420
Accommodation and food services,Female,HighSchool,30-34,215800,7490
Accommodation and food services,Female,HighSchool,35-39,215200,9320
Accommodation and food services,Female,HighSchool,40-44,213600,9350
Accommodation and food services,Female,HighSchool,45-49,218100,15650
Accommodation and food services,Female,HighSchool,50-54,216900,15620
Accommodation and food services,Female,HighSchool,55-59,216400,12490
Accommodation and food services,Female,HighSchool,60-64,202200,9290
Accommodation and food services,Female,HighSchool,65-69,183300,5670
Accommodation and food services,Female,HighSchool,70+,177700,4820
Accommodation and food services,Female,VocationalSchool,0-19,,
Accommodation and food services,Female,VocationalSchool,20-24,203300,10200
Accommodation and food services,Female,VocationalSchool,25-29,218500,8520
Accommodation and food services,Female,VocationalSchool,30-34,226700,4090
Accommodation and food services,Female,VocationalSchool,35-39,234000,4300
Accommodation and food services,Female,VocationalSchool,40-44,235900,4820
Accommodation and food services,Female,VocationalSchool,45-49,233100,4890
Accommodation and food services,Female,VocationalSchool,50-54,244700,3650
Accommodation and food services,Female,VocationalSchool,55-59,239300,2090
Accommodation and food services,Female,VocationalSchool,60-64,226400,1380
Accommodation and food services,Female,VocationalSchool,65-69,193600,560
Accommodation and food services,Female,VocationalSchool,70+,180500,280
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,0-19,,
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,20-24,204900,4500
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,25-29,224500,4530
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,30-34,235300,3040
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,35-39,249500,3220
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,40-44,255400,4320
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,45-49,274100,6600
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,50-54,264900,4310
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,55-59,280400,3300
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,60-64,229700,1460
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,65-69,190700,770
Accommodation and food services,Female,TechnicalSchoolJuniorCollege,70+,208500,340
Accommodation and food services,Female,University,0-19,,
Accommodation and food services,Female,University,20-24,224900,11590
Accommodation and food services,Female,University,25-29,241900,15060
Accommodation and food services,Female,University,30-34,252100,9180
Accommodation and food services,Female,University,35-39,282600,7390
Accommodation and food services,Female,University,40-44,288500,5010
Accommodation and food services,Female,University,45-49,306600,5570
Accommodation and food services,Female,University,50-54,290100,3200
Accommodation and food services,Female,University,55-59,320800,2170
Accommodation and food services,Female,University,60-64,236800,1440
Accommodation and food services,Female,University,65-69,210000,330
Accommodation and food services,Female,University,70+,272200,320
Living-related and personal services and amusement services,Male,JuniorHigh,0-19,183500,60
Living-related and personal services and amusement services,Male,JuniorHigh,20-24,215500,430
Living-related and personal services and amusement services,Male,JuniorHigh,25-29,242100,720
Living-related and personal services and amusement services,Male,JuniorHigh,30-34,267100,830
Living-related and personal services and amusement services,Male,JuniorHigh,35-39,308300,1190
Living-related and personal services and amusement services,Male,JuniorHigh,40-44,305700,1360
Living-related and personal services and amusement services,Male,JuniorHigh,45-49,324000,920
Living-related and personal services and amusement services,Male,JuniorHigh,50-54,310600,1060
Living-related and personal services and amusement services,Male,JuniorHigh,55-59,307700,850
Living-related and personal services and amusement services,Male,JuniorHigh,60-64,256200,670
Living-related and personal services and amusement services,Male,JuniorHigh,65-69,201000,570
Living-related and personal services and amusement services,Male,JuniorHigh,70+,208900,820
Living-related and personal services and amusement services,Male,HighSchool,0-19,189000,1740
Living-related and personal services and amusement services,Male,HighSchool,20-24,205700,6530
Living-related and personal services and amusement services,Male,HighSchool,25-29,237100,8210
Living-related and personal services and amusement services,Male,HighSchool,30-34,269000,11320
Living-related and personal services and amusement services,Male,HighSchool,35-39,288100,13750
Living-related and personal services and amusement services,Male,HighSchool,40-44,320600,15580
Living-related and personal services and amusement services,Male,HighSchool,45-49,329100,16980
Living-related and personal services and amusement services,Male,HighSchool,50-54,330100,14440
Living-related and personal services and amusement services,Male,HighSchool,55-59,321600,12040
Living-related and personal services and amusement services,Male,HighSchool,60-64,271700,10260
Living-related and personal services and amusement services,Male,HighSchool,65-69,219500,5340
Living-related and personal services and amusement services,Male,HighSchool,70+,207300,3830
Living-related and personal services and amusement services,Male,VocationalSchool,0-19,,
Living-related and personal services and amusement services,Male,VocationalSchool,20-24,216500,6820
Living-related and personal services and amusement services,Male,VocationalSchool,25-29,278500,5890
Living-related and personal services and amusement services,Male,VocationalSchool,30-34,317500,4990
Living-related and personal services and amusement services,Male,VocationalSchool,35-39,330100,7480
Living-related and personal services and amusement services,Male,VocationalSchool,40-44,361400,6710
Living-related and personal services and amusement services,Male,VocationalSchool,45-49,374300,7500
Living-related and personal services and amusement services,Male,VocationalSchool,50-54,390500,7020
